Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAUTOFIN,EQ,05 02 2002,40.45,39.3,40.5,38,39.1,39.5,39.53,5865,231859.5,,5145,87.72
BAJAUTOFIN,EQ,06 02 2002,39.5,40,40.1,40,40.05,40.05,40.03,1151,46075.05,,1149,99.83
BAJAUTOFIN,EQ,07 02 2002,40.05,39.8,40.65,39.75,40.5,40.5,40.42,2550,103060,,2400,94.12
BAJAUTOFIN,EQ,08 02 2002,40.5,40,40.95,40,40.95,40.95,40.53,1375,55731.65,,1375,100
BAJAUTOFIN,EQ,11 02 2002,40.95,48.25,48.25,40.55,41.45,41.45,41.13,2200,90490,,1800,81.82
BAJAUTOFIN,EQ,12 02 2002,41.45,41.5,43.5,41.5,43.1,43.1,42.65,6650,283629.8,,6250,93.98
BAJAUTOFIN,EQ,13 02 2002,43.1,43.05,45.95,43.05,44.85,44.9,44.97,7955,357731.75,,7680,96.54
BAJAUTOFIN,EQ,14 02 2002,44.9,44.85,46.65,44.05,46.65,46.5,45.5,2829,128707.8,,2689,95.05
BAJAUTOFIN,EQ,15 02 2002,46.5,48.9,49,46.5,48.75,47.95,47.89,4725,226292,,4475,94.71
BAJAUTOFIN,EQ,18 02 2002,47.95,49.2,56.95,49.2,54.4,54.7,52.3,17494,914863.8,,15839,90.54
BAJAUTOFIN,EQ,19 02 2002,54.7,55,57,50.1,50.5,50.95,53.29,16304,868875.05,,10921,66.98
BAJAUTOFIN,EQ,20 02 2002,50.95,51.5,51.5,46.9,47,46.95,48.03,10431,501020.35,, , 
BAJAUTOFIN,EQ,21 02 2002,46.95,49.85,50.55,48.05,50,49.6,49.54,4197,207937.75,,3450,82.2
BAJAUTOFIN,EQ,22 02 2002,49.6,49.6,50,48,48.15,48.3,48.48,2650,128459.95,,2200,83.02
BAJAUTOFIN,EQ,25 02 2002,48.3,46.7,48,46.1,47.9,47.65,47,1150,54045,,1000,86.96
BAJAUTOFIN,EQ,26 02 2002,47.65,48,48,46,46.55,46.55,46.62,3600,167839.55,,3500,97.22
BAJAUTOFIN,EQ,27 02 2002,46.55,46.5,47.05,45.5,47.05,47.05,46.5,4093,190304.5,,4093,100
BAJAUTOFIN,EQ,28 02 2002,47.05,40,49.95,40,43.75,44.25,45.03,9100,409797.5,,8375,92.03
BAJAUTOFIN,EQ,01 03 2002,44.25,46,47.4,44.55,46,46.8,45.82,3474,159161.55,,3448,99.25
